#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
700000,1399.9999999807183,-93.84713745117188,64.11528015136719,-29.731857299804688,302.4037544325129
710000,1419.9999999802453,-112.96084594726562,60.50648498535156,-52.45436096191406,285.38264488414023
720000,1439.9999999797724,-113.53945922851562,67.25788879394531,-46.28157043457031,317.2260658999834
730000,1459.9999999792994,-115.5830078125,51.6385498046875,-63.9444580078125,243.55647043140655
740000,1479.9999999788265,-97.21826171875,67.47737121582031,-29.740890502929688,318.2612685576064
750000,1499.9999999783536,-119.77276611328125,42.97404479980469,-76.79872131347656,202.68978720722055
760000,1519.9999999778806,-117.18316650390625,69.45750427246094,-47.72566223144531,327.6006907544738
770000,1539.9999999774077,-131.49868774414062,49.38200378417969,-82.11668395996094,232.91332909223925
780000,1559.9999999769348,-101.15457153320312,65.23460388183594,-35.91996765136719,307.68311526069675
790000,1579.9999999764618,-115.74591064453125,63.53900146484375,-52.2069091796875,299.6856997349011
800000,1599.9999999759889,-104.35232543945312,63.524085998535156,-40.82823944091797,299.61534999923464
810000,1619.999999975516,-122.74978637695312,81.13260650634766,-41.61717987060547,382.6670453048326
820000,1639.999999975043,-131.96719360351562,49.89330291748047,-82.07389068603516,235.32490363707805
830000,1659.99999997457,-122.51193237304688,63.724090576171875,-58.787841796875,300.5586841785167
840000,1679.9999999740971,-98.47140502929688,52.78692626953125,-45.684478759765625,248.97286030993195
850000,1699.9999999736242,-127.02740478515625,53.6270637512207,-73.40034103393555,252.93542162296944
860000,1719.9999999731513,-96.921630859375,57.55152893066406,-39.37010192871094,271.44540865884505
870000,1739.9999999726783,-118.29458618164062,92.40756225585938,-25.88702392578125,435.84608377527564
880000,1759.9999999722054,-73.08868408203125,84.08773803710938,10.999053955078125,396.6051091740768
890000,1779.9999999717324,-113.2359619140625,55.97793960571289,-57.25802230834961,264.02347556151284
900000,1799.9999999712595,-104.28695678710938,63.82286071777344,-40.46409606933594,301.02453976825495
910000,1819.9999999707866,-132.59689331054688,58.06850814819336,-74.52838516235352,273.88377367846834
920000,1839.9999999703136,-113.62026977539062,91.38905334472656,-22.231216430664062,431.0422223880621
930000,1859.9999999698407,-116.0523681640625,59.08137512207031,-56.97099304199219,278.661024513495
940000,1879.9999999693678,-101.51144409179688,71.80650329589844,-29.704940795898438,338.67989250121474
950000,1899.9999999688948,-121.1375732421875,53.257080078125,-67.8804931640625,251.19037034098596
960000,1919.999999968422,-92.09078979492188,65.05519104003906,-27.035598754882812,306.8369032996058
970000,1939.999999967949,-122.87481689453125,75.57282257080078,-47.30199432373047,356.4439744241683
980000,1959.999999967476,-94.82208251953125,57.890907287597656,-36.931175231933594,273.046108040764
990000,1979.999999967003,-110.60494995117188,65.65789794921875,-44.947052001953125,309.6796083728436
1000000,1999.9999999665301,-95.20474243164062,52.701377868652344,-42.50336456298828,248.56936589252626
1010000,2019.9999999660572,-112.41329956054688,75.11512756347656,-37.29817199707031,354.2852271134945
1020000,2039.9999999655843,-118.1031494140625,42.660343170166016,-75.44280624389648,201.21019372575452
1030000,2059.9999999651113,-118.427978515625,53.599334716796875,-64.82864379882812,252.80463588676494
1040000,2079.9999999646384,-133.51565551757812,75.0201644897461,-58.49549102783203,353.83732779899805
1050000,2099.9999999641655,-118.7578125,67.90108489990234,-50.856727600097656,320.25974081832703
1060000,2119.9999999636925,-106.01754760742188,81.72499084472656,-24.292556762695312,385.46106332315645
1070000,2139.9999999632196,-115.17648315429688,69.97848510742188,-45.197998046875,330.0579296545867
1080000,2159.9999999627466,-110.72760009765625,65.35188293457031,-45.37571716308594,308.2362692947965
1090000,2179.9999999622737,-114.78036499023438,48.950897216796875,-65.8294677734375,230.87998783210134
1100000,2199.9999999618008,-132.86746215820312,95.26724243164062,-37.6002197265625,449.33394532077403
1110000,2219.999999961328,-89.55712890625,59.533775329589844,-30.023353576660156,280.7947985676202
1120000,2239.999999960855,-111.65744018554688,50.700927734375,-60.956512451171875,239.1341169201704
1130000,2259.999999960382,-107.36038208007812,62.77179718017578,-44.588584899902344,296.06713243623886
1140000,2279.999999959909,-109.6927490234375,58.770118713378906,-50.922630310058594,277.1929640705359
1150000,2299.999999959436,-118.10629272460938,57.55394744873047,-60.552345275878906,271.4568157515336
1160000,2319.999999958963,-114.12005615234375,57.787384033203125,-56.332672119140625,272.5578340953633
1170000,2339.99999995849,-110.21371459960938,70.76519775390625,-39.448516845703125,333.768509369668
1180000,2359.9999999580173,-103.21133422851562,79.1559066772461,-24.05542755126953,373.34381614175027
1190000,2379.9999999575443,-98.39926147460938,58.27545928955078,-40.123802185058594,274.85987176277564
1200000,2399.9999999570714,-103.23001098632812,72.44359588623047,-30.786415100097656,341.68477980394033
1210000,2419.9999999565985,-107.8919677734375,48.69984436035156,-59.19212341308594,229.69588123269423
1220000,2439.9999999561255,-99.91989135742188,65.2035140991211,-34.71637725830078,307.53647834364256
1230000,2459.9999999556526,-130.96774291992188,71.76101684570312,-59.20672607421875,338.4653527958216
1240000,2479.9999999551796,-109.28890991210938,48.20231246948242,-61.08659744262695,227.34924075333376
1250000,2499.9999999547067,-123.23419189453125,80.60458374023438,-42.629608154296875,380.17659269320046
1260000,2519.9999999542338,-113.24676513671875,61.01702880859375,-52.229736328125,287.79065696154635
1270000,2539.999999953761,-103.46466064453125,79.3118896484375,-24.15277099609375,374.0795196433876
1280000,2559.999999953288,-114.0345458984375,60.55904769897461,-53.47549819946289,285.63056023139046
1290000,2579.999999952815,-103.13790893554688,57.45272445678711,-45.685184478759766,270.979391138769
1300000,2599.999999952342,-117.29501342773438,68.16152954101562,-49.13348388671875,321.48814436126634
1310000,2619.999999951869,-121.6217041015625,50.670074462890625,-70.95162963867188,238.98859552322148
1320000,2639.999999951396,-132.73922729492188,74.23971557617188,-58.49951171875,350.15629137444483
1330000,2659.999999950923,-105.48440551757812,59.925323486328125,-45.55908203125,282.64156009403393
1340000,2679.9999999504503,-97.28317260742188,67.4188003540039,-29.86437225341797,317.98501540123226
1350000,2699.9999999499773,-109.9576416015625,70.51933288574219,-39.43830871582031,332.60887224353615
1360000,2719.9999999495044,-117.78533935546875,62.527339935302734,-55.257999420166016,294.914134453959
1370000,2739.9999999490315,-129.60400390625,57.47871398925781,-72.12528991699219,271.1019724045223
1380000,2759.9999999485585,-121.56832885742188,64.37319946289062,-57.19512939453125,303.6202470994903
1390000,2779.9999999480856,-115.25439453125,67.59053802490234,-47.663856506347656,318.7950269356835
1400000,2799.9999999476127,-109.31982421875,39.598663330078125,-69.72116088867188,186.76958804911894
1410000,2819.9999999471397,-110.40972900390625,59.38630294799805,-51.0234260559082,280.0992357975102
1420000,2839.999999946667,-127.4144287109375,61.00239944458008,-66.41202926635742,287.7216566453619
1430000,2859.999999946194,-125.06964111328125,80.76891326904297,-44.30072784423828,380.95166325919536
1440000,2879.999999945721,-110.18515014648438,59.346988677978516,-50.83816146850586,279.9138075684108
1450000,2899.999999945248,-108.56265258789062,45.44304656982422,-63.119606018066406,214.33498946153068
1460000,2919.999999944775,-132.75521850585938,54.894569396972656,-77.86064910888672,258.9136917815788
1470000,2939.999999944302,-126.66061401367188,113.80231475830078,-12.858299255371094,536.7557805997809
1480000,2959.999999943829,-130.1175537109375,52.205936431884766,-77.91161727905273,246.23258517151496
1490000,2979.999999943356,-98.53900146484375,92.73100280761719,-5.8079986572265625,437.3716114959122
1500000,2999.9999999428833,-121.64898681640625,74.18994903564453,-47.45903778076172,349.9215643535996
1510000,3019.9999999424103,-101.5184326171875,65.83295440673828,-35.68547821044922,310.5052731732872
1520000,3039.9999999419374,-126.48464965820312,89.98524475097656,-36.49940490722656,424.4210707959237
1530000,3059.9999999414645,-116.08657836914062,84.01153564453125,-32.075042724609375,396.24569579308616
1540000,3079.9999999409915,-129.16671752929688,42.87738800048828,-86.2893295288086,202.2338993293901
1550000,3099.9999999405186,-117.22625732421875,53.66169738769531,-63.56455993652344,253.09877334934177
1560000,3119.9999999400457,-112.21051025390625,68.91329956054688,-43.297210693359375,325.0339149769345
1570000,3139.9999999395727,-130.9869384765625,64.09635925292969,-66.89057922363281,302.31451282409716
1580000,3159.9999999391,-118.76559448242188,70.5893783569336,-48.17621612548828,332.9392461172721
1590000,3179.999999938627,-133.8568115234375,59.16212463378906,-74.69468688964844,279.0418846681211
1600000,3199.999999938154,-102.30581665039062,61.35179138183594,-40.95402526855469,289.3695857091542
1610000,3219.999999937681,-102.21487426757812,45.25946807861328,-56.955406188964844,213.4691299527805
1620000,3239.999999937208,-108.35302734375,64.33381652832031,-44.01921081542969,303.4344950097152
1630000,3259.999999936735,-113.78237915039062,56.96160125732422,-56.820777893066406,268.6629776558074
1640000,3279.999999936262,-125.83642578125,69.1329345703125,-56.7034912109375,326.069837324948
1650000,3299.999999935789,-131.77438354492188,70.53768920898438,-61.2366943359375,332.69545099750724
1660000,3319.9999999353163,-79.54833984375,59.46300506591797,-20.08533477783203,280.4610061645296
1670000,3339.9999999348433,-131.22164916992188,62.667449951171875,-68.55419921875,295.57497216272975
1680000,3359.9999999343704,-96.95632934570312,73.77500915527344,-23.181320190429688,347.96447429032986
1690000,3379.9999999338975,-117.19747924804688,57.208473205566406,-59.98900604248047,269.8273647385162
1700000,3399.9999999334245,-104.43792724609375,52.116920471191406,-52.321006774902344,245.81273578998628
1710000,3419.9999999329516,-134.30123901367188,68.44633483886719,-65.85490417480469,322.83144647504093
1720000,3439.9999999324787,-103.38720703125,51.48013687133789,-51.90707015991211,242.80930586030127
1730000,3459.9999999320057,-114.46258544921875,67.17507934570312,-47.287506103515625,316.8354899250863
1740000,3479.999999931533,-130.45068359375,55.74045944213867,-74.71022415161133,262.9033854223362
1750000,3499.99999993106,-88.43673706054688,73.82986450195312,-14.60687255859375,348.2232029856966
1760000,3519.999999930587,-114.072021484375,54.2921257019043,-59.7798957824707,256.0722281742646
1770000,3539.999999930114,-133.10638427734375,68.91673278808594,-64.18965148925781,325.05010801071967
1780000,3559.999999929641,-123.47817993164062,71.40340423583984,-52.07477569580078,336.77865041224385
1790000,3579.999999929168,-121.99807739257812,76.38523864746094,-45.61283874511719,360.2757859855208
1800000,3599.999999928695,-101.40859985351562,47.808780670166016,-53.59981918334961,225.4931232518441
1810000,3619.999999928222,-101.73443603515625,56.83039855957031,-44.90403747558594,268.0441518735791
1820000,3639.9999999277493,-108.65069580078125,42.93404769897461,-65.71664810180664,202.5011383636239
1830000,3659.9999999272763,-125.18588256835938,77.15605926513672,-48.029823303222656,363.9114099464367
1840000,3679.9999999268034,-129.8773193359375,44.501197814941406,-85.3761215209961,209.89270052647913
1850000,3699.9999999263305,-121.08642578125,60.54948425292969,-60.53694152832031,285.585453636169
1860000,3719.9999999258575,-102.836669921875,92.133056640625,-10.70361328125,434.55136076285646
1870000,3739.9999999253846,-121.40744018554688,86.95539093017578,-34.452049255371094,410.13057454247615
1880000,3759.9999999249117,-126.32012939453125,88.65277099609375,-37.6673583984375,418.13637446132054
1890000,3779.9999999244387,-127.1002197265625,63.58121871948242,-63.51900100708008,299.8848200736788
1900000,3799.999999923966,-130.27706909179688,62.82490158081055,-67.45216751098633,296.3176026843752
1910000,3819.999999923493,-129.897216796875,46.65536117553711,-83.24185562133789,220.05294760591434
1920000,3839.99999992302,-97.77627563476562,79.02301025390625,-18.753265380859375,372.717001796188
1930000,3859.999999922547,-112.07858276367188,103.57685852050781,-8.501724243164062,488.5267726348518
1940000,3879.999999922074,-117.98846435546875,51.923580169677734,-66.06488418579102,244.90083408850708
1950000,3899.999999921601,-121.14407348632812,69.17135620117188,-51.97271728515625,326.25105536526326
1960000,3919.999999921128,-114.57546997070312,55.775901794433594,-58.79956817626953,263.07055150777796
1970000,3939.9999999206552,-125.073974609375,80.43315887451172,-44.64081573486328,379.36805652404956
1980000,3959.9999999201823,-127.17828369140625,56.884742736816406,-70.29354095458984,268.3004696061378
1990000,3979.9999999197094,-106.91006469726562,77.36134338378906,-29.548721313476562,364.8796454132284
2000000,3999.9999999192364,-96.46224975585938,67.59475708007812,-28.86749267578125,318.8149263749795
2010000,4019.9999999187635,-113.42706298828125,85.42510986328125,-28.001953125,402.91290757021335
2020000,4039.9999999182905,-114.2891845703125,69.56169128417969,-44.72749328613281,328.092095353073
2030000,4059.9999999178176,-127.16058349609375,57.75605773925781,-69.40452575683594,272.410081658204
2040000,4079.9999999173447,-114.32797241210938,64.23579406738281,-50.09217834472656,302.9721659028902
2050000,4099.999999917781,-111.41448974609375,60.72740936279297,-50.68708038330078,286.424648615953
2060000,4119.999999921855,-127.19024658203125,72.094482421875,-55.09576416015625,340.0381641751107
2070000,4139.99999992593,-102.69512939453125,50.22437286376953,-52.47075653076172,236.88641587723706
2080000,4159.999999930004,-93.39434814453125,86.73775482177734,-6.656593322753906,409.10408013857756
2090000,4179.999999934079,-105.05386352539062,58.3314323425293,-46.72243118286133,275.1238721902524
2100000,4199.999999938153,-115.46600341796875,61.391258239746094,-54.074745178222656,289.5557336286441
2110000,4219.999999942228,-121.37954711914062,50.281654357910156,-71.09789276123047,237.1565876498119
2120000,4239.9999999463025,-110.07534790039062,69.81889343261719,-40.25645446777344,329.30520547521525
2130000,4259.999999950377,-112.276123046875,62.52382278442383,-49.75230026245117,294.8975455904591
2140000,4279.999999954452,-128.23220825195312,56.12315368652344,-72.10905456542969,264.7083869138442
2150000,4299.999999958526,-115.36346435546875,63.49718475341797,-51.86627960205078,299.48846858339834
2160000,4319.999999962601,-113.52618408203125,76.93301391601562,-36.593170166015625,362.85940251819665
2170000,4339.999999966675,-127.94903564453125,65.04602813720703,-62.90300750732422,306.79368589165927
2180000,4359.99999997075,-99.78872680664062,73.14103698730469,-26.647689819335938,344.9743046560889
2190000,4379.999999974824,-129.15219116210938,95.2832260131836,-33.86896514892578,449.40933288917364
2200000,4399.999999978899,-123.6973876953125,55.771087646484375,-67.92630004882812,263.0478452759593
2210000,4419.999999982973,-124.32757568359375,76.35881042480469,-47.96876525878906,360.15113560989494
2220000,4439.999999987048,-112.33969116210938,47.03019714355469,-65.30949401855469,221.82088504231413
2230000,4459.999999991122,-131.02743530273438,66.31379699707031,-64.71363830566406,312.7731975161922
2240000,4479.999999995197,-109.25668334960938,54.398704528808594,-54.85797882080078,256.57491391973394
2250000,4499.9999999992715,-120.10775756835938,74.97720336914062,-45.13055419921875,353.63469896956695
2260000,4520.000000003346,-117.53240966796875,84.22245788574219,-33.30995178222656,397.24052381980493
2270000,4540.000000007421,-98.60946655273438,62.4044189453125,-36.205047607421875,294.33436986767236
2280000,4560.000000011495,-111.64215087890625,65.16783142089844,-46.47431945800781,307.3681787458359
2290000,4580.00000001557,-113.36029052734375,65.73017883300781,-47.63011169433594,310.0205257107997
2300000,4600.000000019644,-108.4595947265625,78.35977172851562,-30.099822998046875,369.58879554505876
2310000,4620.000000023719,-130.85256958007812,59.395755767822266,-71.45681381225586,280.14382061719857
2320000,4640.000000027793,-127.42672729492188,68.25591278076172,-59.170814514160156,321.933308852279
2330000,4660.000000031868,-111.271240234375,56.648136138916016,-54.623104095458984,267.1844996944466
2340000,4680.000000035942,-109.87106323242188,62.95292663574219,-46.91813659667969,296.92144091422233
2350000,4700.000000040017,-108.51690673828125,60.279876708984375,-48.237030029296875,284.3138326852832
2360000,4720.000000044091,-116.83013916015625,65.45059204101562,-51.379547119140625,308.70183700837845
2370000,4740.000000048166,-120.46334838867188,78.60488891601562,-41.85845947265625,370.74490618827735
2380000,4760.0000000522405,-97.58541870117188,52.405296325683594,-45.18012237548828,247.17287865889742
2390000,4780.000000056315,-113.90585327148438,77.34739685058594,-36.55845642089844,364.81386571154127
2400000,4800.0000000603895,-116.6595458984375,61.63391876220703,-55.02562713623047,290.7002572565764
2410000,4820.000000064464,-97.3271484375,70.357421875,-26.9697265625,331.8452087702298
2420000,4840.000000068539,-98.96258544921875,66.29519653320312,-32.667388916015625,312.6854672575964
2430000,4860.000000072613,-106.15567016601562,56.032981872558594,-50.12268829345703,264.28308587760785
2440000,4880.000000076688,-82.13833618164062,57.36912536621094,-24.769210815429688,270.58509076610125
2450000,4900.000000080762,-134.2340087890625,59.9863395690918,-74.2476692199707,282.9293462889151
2460000,4920.000000084837,-119.17098999023438,64.47290802001953,-54.698081970214844,304.0905287851298
2470000,4940.000000088911,-125.60467529296875,65.44023132324219,-60.16444396972656,308.6529700308669
2480000,4960.000000092986,-138.33834838867188,68.21150207519531,-70.12684631347656,321.7238429641386
2490000,4980.00000009706,-128.24508666992188,51.09834289550781,-77.14674377441406,241.00855054209703
2500000,5000.000000101135,-119.93630981445312,52.423316955566406,-67.51299285888672,247.25787409400954
2510000,5020.000000105209,-115.04638671875,32.79553985595703,-82.25084686279297,154.68222797543282
2520000,5040.000000109284,-122.66799926757812,55.447547912597656,-67.22045135498047,261.52184975656894
2530000,5060.0000001133585,-122.27294921875,78.87733459472656,-43.39561462402344,372.0299133804255
2540000,5080.000000117433,-126.93353271484375,55.252498626708984,-71.68103408813477,260.6018875227167
2550000,5100.000000121508,-130.76089477539062,58.96104431152344,-71.79985046386719,278.0934766715863
2560000,5120.000000125582,-120.83261108398438,65.16658020019531,-55.66603088378906,307.3622772846342
2570000,5140.000000129657,-107.52932739257812,70.12451934814453,-37.404808044433594,330.74670934276674
2580000,5160.000000133731,-114.59381103515625,51.15406799316406,-63.43974304199219,241.27138147268928
2590000,5180.000000137806,-109.50485229492188,74.03192138671875,-35.472930908203125,349.1762170007303
2600000,5200.00000014188,-115.72589111328125,53.46550750732422,-62.26038360595703,252.1734314298209
2610000,5220.000000145955,-101.0306396484375,59.99436950683594,-41.03627014160156,282.9672199957125
2620000,5240.000000150029,-109.94717407226562,65.68152618408203,-44.265647888183594,309.7910524298048
2630000,5260.000000154104,-104.19207763671875,84.27415466308594,-19.917922973632812,397.48435492408936
2640000,5280.000000158178,-114.66665649414062,64.88414001464844,-49.78251647949219,306.0301303719116
2650000,5300.000000162253,-120.24679565429688,89.06858825683594,-31.178207397460938,420.0976027443354
2660000,5320.0000001663275,-107.07986450195312,53.45833206176758,-53.62153244018555,252.13958798920999
2670000,5340.000000170402,-118.03778076171875,71.382568359375,-46.65521240234375,336.680376689428
2680000,5360.000000174477,-114.78524780273438,52.24224853515625,-62.542999267578125,246.40385349218224
2690000,5380.000000178551,-99.6607666015625,65.51492309570312,-34.145843505859375,309.00525847699214
2700000,5400.000000182626,-135.17367553710938,50.49775695800781,-84.67591857910156,238.17584916528648
2710000,5420.0000001867,-122.5224609375,56.208106994628906,-66.3143539428711,265.1090745387271
2720000,5440.000000190775,-106.39297485351562,75.93759155273438,-30.45538330078125,358.16443028705817
2730000,5460.000000194849,-114.16305541992188,63.34175491333008,-50.8213005065918,298.7553739594264
2740000,5480.000000198924,-123.23110961914062,48.555171966552734,-74.67593765258789,229.01352478124898
2750000,5500.000000202998,-116.21258544921875,96.5390625,-19.67352294921875,455.33256472517337
2760000,5520.000000207073,-106.15283203125,58.20041275024414,-47.95241928100586,274.50591003649265
2770000,5540.000000211147,-118.95697021484375,67.00924682617188,-51.947723388671875,316.0533304087454
2780000,5560.000000215222,-121.13247680664062,81.06321716308594,-40.06925964355469,382.3397660997755
2790000,5580.000000219296,-110.31509399414062,75.867431640625,-34.447662353515625,357.8335166455293
2800000,5600.000000223371,-94.3104248046875,74.36038970947266,-19.950035095214844,350.72545851973206
2810000,5620.0000002274455,-121.30810546875,47.25982666015625,-74.04827880859375,222.90394711090207
2820000,5640.00000023152,-137.300048828125,59.876888275146484,-77.42316055297852,282.4131123718454
2830000,5660.000000235595,-119.69509887695312,80.02307891845703,-39.672019958496094,377.43388859971566
2840000,5680.000000239669,-114.71453857421875,72.86800384521484,-41.846534729003906,343.68652665593754
2850000,5700.000000243744,-130.09982299804688,82.78752136230469,-47.31230163574219,390.47255538801477
2860000,5720.000000247818,-111.46932983398438,59.21833419799805,-52.25099563598633,279.30700061570303
2870000,5740.000000251893,-125.5205078125,79.05227661132812,-46.468231201171875,372.8550384130763
2880000,5760.000000255967,-108.6844482421875,77.75382995605469,-30.930618286132812,366.7308330355434
2890000,5780.000000260042,-117.08200073242188,44.593353271484375,-72.4886474609375,210.32735753779127
2900000,5800.000000264116,-115.8619384765625,66.9202880859375,-48.941650390625,315.6337509111131
2910000,5820.000000268191,-124.57049560546875,44.54425048828125,-80.0262451171875,210.09576117014453
2920000,5840.000000272265,-105.51861572265625,61.57951354980469,-43.93910217285156,290.4436516478615
2930000,5860.00000027634,-115.19775390625,81.90379333496094,-33.29396057128906,386.3043965226856
2940000,5880.0000002804145,-124.9208984375,78.92047882080078,-46.00041961669922,372.2334058383252
2950000,5900.000000284489,-107.51150512695312,55.35469436645508,-52.15681076049805,261.0839001617205
2960000,5920.000000288564,-130.81948852539062,80.73812103271484,-50.08136749267578,380.80642973840264
2970000,5940.000000292638,-102.88580322265625,60.52665710449219,-42.35914611816406,285.47778795375774
2980000,5960.000000296713,-107.0001220703125,48.15657424926758,-58.84354782104492,227.1335135587964
2990000,5980.000000300787,-104.88201904296875,53.35615539550781,-51.52586364746094,251.657665311505
3000000,6000.000000304862,-116.74111938476562,73.31841278076172,-43.422706604003906,345.8109087504673
3010000,6020.000000308936,-122.18820190429688,61.574607849121094,-60.61359405517578,290.4205136018085
